Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
109,21.10.2016,Berlin,BR,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
110,21.10.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
111,21.10.2016,Pforzheim,BW,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
112,21.10.2016,Luhe-Wildenau,BY,Volksverhetzung § 130 StGB,X
113,21.10.2016,Wenzenbach,BY,Volksverhetzung § 130 StGB,X
114,21.10.2016,Hamburg,HH,Beleidigung § 185 StGB,X
115,21.10.2016,Sulingen,NI,Volksverhetzung § 130 StGB,X
116,21.10.2016,Neukirchen/Pleiße,SN,Volksverhetzung § 130 StGB,X
117,21.10.2016,Meiningen,TH,Nötigung § 240 StGB,X
118,22.10.2016,Bad Freienwalde,BB,Körperverletzung § 223 StGB,X
119,22.10.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
120,23.10.2016,Schwedt/Oder,BB,Totschlag § 212 StGB,X
121,23.10.2016,Bremen,HB,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
122,23.10.2016,Rostock,MV,"Beschimpfung von Bekenntnissen, Religi-onsgesellschaften und Weltanschauungsver-einigungen § 166 StGB",X
123,23.10.2016,Bautzen,SN,Bedrohung § 241 StGB,X
124,23.10.2016,Mittweida,SN,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
125,23.10.2016,Eilenburg,SN,"Störung des öffentlichen Friedens durchAndrohung von Straftaten § 126 StGB",X
126,23.10.2016,Erfurt,TH,Körperverletzung § 223 StGB,X
127,24.10.2016,Ebersbach an der Fils,BW,Sachbeschädigung § 303 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
128,24.10.2016,Grimmen,MV,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
129,24.10.2016,Dresden,SN,Gefährliche Körperverletzung § 224 StGB,X
130,24.10.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
131,24.10.2016,Erfurt,TH,Volksverhetzung § 130 StGB,X
132,25.10.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
133,25.10.2016,Offenburg,BW,Volksverhetzung § 130 StGB,X
134,25.10.2016,Lauterbach,BW,Volksverhetzung § 130 StGB,X
135,25.10.2016,Weimar,TH,Volksverhetzung § 130 StGB,X
136,26.10.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
137,26.10.2016,Reutlingen,BW,Volksverhetzung § 130 StGB,X
138,26.10.2016,Bad Friedrichshall,BW,Volksverhetzung § 130 StGB,X
139,26.10.2016,Niepars,MV,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
140,26.10.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
141,27.10.2016,Frankfurt/Oder,BB,Beleidigung § 185 StGB,X
142,27.10.2016,Strausberg,BB,Beleidigung § 185 StGB,X
143,27.10.2016,Marburg,HE,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
144,27.10.2016,Ueckermünde,MV,Gefährliche Körperverletzung § 224 StGB,X
145,28.10.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
146,28.10.2016,Emmerting,BY,Körperverletzung § 223 StGB,X
147,28.10.2016,Flensburg,SH,Beleidigung § 185 StGB,X
