Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
131,13.01.2016,Hamburg,HH,"Gefährliche Körperverletzung§ 224 StGB",X
132,13.01.2016,Göttingen,NI,Volksverhetzung § 130 StGB,
133,13.01.2016,Mülheim an der Ruhr,NW,"Gefährliche Körperverletzung§ 224 StGB",X
134,13.01.2016,Datteln,NW,Volksverhetzung § 130 StGB,X
135,13.01.2016,Elmshorn,SH,Volksverhetzung § 130 StGB,X
136,13.01.2016,Pößneck,TH,Körperverletzung § 223 StGB,X
137,14.01.2016,Neustadt/Dosse,BB,Volksverhetzung § 130 StGB,X
138,14.01.2016,Augsburg,BY,Volksverhetzung § 130 StGB,X
139,14.01.2016,Aschaffenburg,BY,Beleidigung § 185 StGB,X
140,14.01.2016,Bad Aibling,BY,Beleidigung § 185 StGB,X
141,14.01.2016,Maisach,BY,Volksverhetzung § 130 StGB,X
142,14.01.2016,Traitsching,BY,Volksverhetzung § 130 StGB,X
143,14.01.2016,Rostock,MV,Beleidigung § 185 StGB,X
144,14.01.2016,Wolfenbüttel,NI,"Gefährliche Körperverletzung§ 224 StGB",X
145,14.01.2016,Wolfenbüttel,NI,Volksverhetzung § 130 StGB,X
146,14.01.2016,Bochum,NW,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
147,14.01.2016,Geseke,NW,Volksverhetzung § 130 StGB,X
148,14.01.2016,Monzelfeld,RP,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
149,14.01.2016,Heide,SH,Volksverhetzung § 130 StGB,X
150,15.01.2016,Luckenwalde,BB,Beleidigung § 185 StGB,X
151,15.01.2016,Hennigsdorf bei Berlin,BB,Bedrohung § 241 StGB,X
152,15.01.2016,Hennigsdorf bei Berlin,BB,Volksverhetzung § 130 StGB,X
153,15.01.2016,Berlin,BR,Bedrohung § 241 StGB,X
154,15.01.2016,Miesbach,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
155,15.01.2016,Wielenbach,BY,Sachbeschädigung § 303 StGB,X
156,15.01.2016,Hamburg,HH,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
157,15.01.2016,Seelze,NI,Volksverhetzung § 130 StGB,X
158,15.01.2016,Duisburg,NW,Volksverhetzung § 130 StGB,X
159,15.01.2016,Leinefelde,TH,Volksverhetzung § 130 StGB,X
160,16.01.2016,Berlin,BR,Beleidigung § 185 StGB,X
161,16.01.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
162,16.01.2016,Iffezheim,BW,Volksverhetzung § 130 StGB,X
163,16.01.2016,Creußen,BY,Volksverhetzung § 130 StGB,X
164,16.01.2016,Forchheim,BY,Beleidigung § 185 StGB,X
165,16.01.2016,Hengersberg,BY,Volksverhetzung § 130 StGB,X
166,16.01.2016,Nürnberg,BY,Volksverhetzung § 130 StGB,X
167,16.01.2016,Hollenstedt,NI,"Verfassungsfeindliche Verun­glimpfung von Verfassungsorga­nen § 90b StGB",X
168,16.01.2016,Kiel,SH,Sachbeschädigung § 303 StGB,X
169,16.01.2016,Jena,TH,"Gefährliche Körperverletzung§ 224 StGB",
170,17.01.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
171,17.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
172,17.01.2016,Bruckmühl,BY,Volksverhetzung § 130 StGB,X
173,17.01.2016,Köln,NW,"Gefährliche Körperverletzung§ 224 StGB",X
174,17.01.2016,Rendsburg,SH,Volksverhetzung § 130 StGB,X
175,17.01.2016,Geising,SN,"Gefährliche Körperverletzung§ 224 StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
176,17.01.2016,Rudolstadt,TH,Körperverletzung § 223 StGB,X
177,18.01.2016,Luckenwalde,BB,Körperverletzung § 223 StGB,X
178,18.01.2016,Hockenheim,BW,Volksverhetzung § 130 StGB,X
179,18.01.2016,Johanniskirchen,BY,Volksverhetzung § 130 StGB,
180,18.01.2016,Rennertshofen,BY,Volksverhetzung § 130 StGB,
181,18.01.2016,Bielefeld,NW,Volksverhetzung § 130 StGB,X
182,18.01.2016,Bochum,NW,"Gefährliche Körperverletzung§ 224 StGB",X
183,18.01.2016,Duisburg,NW,"Gefährliche Körperverletzung§ 224 StGB",X
184,18.01.2016,Timmendorfer Strand,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
185,18.01.2016,Brunsbüttel,SH,Bedrohung § 241 StGB,X
186,19.01.2016,Halle/Saale,ST,Körperverletzung § 223 StGB,X
187,19.01.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
188,19.01.2016,Waibstadt,BW,Volksverhetzung § 130 StGB,X
189,19.01.2016,Deizisau,BW,Sachbeschädigung § 303 StGB,X
190,19.01.2016,Ochsenhausen,BW,Volksverhetzung § 130 StGB,X
191,19.01.2016,Viechtach,BY,Volksverhetzung § 130 StGB,X
192,19.01.2016,Johanniskirchen,BY,Beleidigung § 185 StGB,
193,19.01.2016,Regensburg,BY,Volksverhetzung § 130 StGB,X
194,19.01.2016,Hamburg,HH,"Gefährliche Körperverletzung§ 224 StGB",X
195,19.01.2016,Bad Dürkheim,RP,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
196,19.01.2016,Weinböhla,SN,Volksverhetzung § 130 StGB,X
197,20.01.2016,Bad Schussenried,BW,Volksverhetzung § 130 StGB,X
198,20.01.2016,Augsburg,BY,Beleidigung § 185 StGB,X
199,20.01.2016,Lindenberg im Allgäu,BY,Volksverhetzung § 130 StGB,X
200,20.01.2016,Regensburg,BY,Volksverhetzung § 130 StGB,X
201,20.01.2016,Bremerhaven,HB,Volksverhetzung § 130 StGB,X
202,20.01.2016,Wetter (Hessen),HE,Sachbeschädigung § 303 StGB,X
203,20.01.2016,Hamburg,HH,Volksverhetzung § 130 StGB,X
204,20.01.2016,Essen,NW,Volksverhetzung § 130 StGB,X
205,20.01.2016,Weilerbach,RP,Volksverhetzung § 130 StGB,X
206,20.01.2016,Pinneberg,SH,Beleidigung § 185 StGB,X
207,20.01.2016,Preetz,SH,Volksverhetzung § 130 StGB,X
