Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
671,02.03.2016,Bad Oldesloe,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
672,02.03.2016,Heiligenstadt,TH,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
673,02.03.2016,Suhl,TH,Volksverhetzung § 130 StGB,X
674,03.03.2016,Guben,BB,Körperverletzung § 223 StGB,X
675,03.03.2016,Potsdam,BB,Beleidigung § 185 StGB,X
676,03.03.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
677,03.03.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
678,03.03.2016,Villingen­Schwenningen,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
679,03.03.2016,Kaisersbach,BW,Beleidigung § 185 StGB,
680,03.03.2016,Mannheim,BW,Volksverhetzung § 130 StGB,X
681,03.03.2016,Hof,BY,Volksverhetzung § 130 StGB,X
682,03.03.2016,Germering,BY,Volksverhetzung § 130 StGB,X
683,03.03.2016,Hamburg,HH,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
684,03.03.2016,Leezen,MV,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
685,03.03.2016,Stadthagen,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
686,03.03.2016,Bad Lauterberg im Harz,NI,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
687,03.03.2016,Bad Lauterberg im Harz,NI,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
688,03.03.2016,Bad Kreuznach,RP,Volksverhetzung § 130 StGB,X
689,03.03.2016,Eutin,SH,Volksverhetzung § 130 StGB,X
690,03.03.2016,Lübeck,SH,Volksverhetzung § 130 StGB,X
691,03.03.2016,Dresden,SN,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
692,04.03.2016,Berlin,BR,Sachbeschädigung § 303 StGB,
693,04.03.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
694,04.03.2016,Berlin,BR,Sachbeschädigung § 303 StGB,
695,04.03.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
696,04.03.2016,Böblingen,BW,Volksverhetzung § 130 StGB,X
697,04.03.2016,Pliezhausen,BW,Beleidigung § 185 StGB,X
698,04.03.2016,Nürnberg,BY,Volksverhetzung § 130 StGB,X
699,04.03.2016,Cloppenburg,NI,Volksverhetzung § 130 StGB,X
700,04.03.2016,Scheeßel,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
701,04.03.2016,Lohne (Oldenburg),NI,Beleidigung § 185 StGB,X
702,05.03.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
703,05.03.2016,Stuttgart,BW,Volksverhetzung § 130 StGB,X
704,05.03.2016,Niederstetten,BW,Volksverhetzung § 130 StGB,X
705,05.03.2016,Obernburg am Main,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
706,05.03.2016,Sand am Main,BY,Bedrohung § 241 StGB,
707,05.03.2016,Hannover,NI,Volksverhetzung § 130 StGB,X
708,05.03.2016,Oldenburg (Oldenburg),NI,Volksverhetzung § 130 StGB,X
709,05.03.2016,Mayen,RP,Volksverhetzung § 130 StGB,X
710,05.03.2016,Lugau/Erzgebirge,SN,Sachbeschädigung § 303 StGB,X
711,05.03.2016,Bautzen,SN,Volksverhetzung § 130 StGB,X
712,06.03.2016,Prenzlau,BB,"Gefährliche Körperverletzung§ 224 StGB",X
713,06.03.2016,Berlin,BR,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
714,06.03.2016,Vilshofen,BY,Volksverhetzung § 130 StGB,X
715,06.03.2016,Hannover,NI,Volksverhetzung § 130 StGB,X
716,06.03.2016,Mönchengladbach,NW,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
717,06.03.2016,Lübeck,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
718,06.03.2016,Flintbek,SH,Sachbeschädigung § 303 StGB,X
719,07.03.2016,Aalen,BW,Urkundenfälschung § 267 StGB,X
720,07.03.2016,Weisendorf,BY,Volksverhetzung § 130 StGB,X
721,07.03.2016,Schwandorf,BY,Volksverhetzung § 130 StGB,X
722,07.03.2016,Hinte,NI,Brandstiftung § 306 StGB,X
723,07.03.2016,Hollenstedt,NI,Beleidigung § 185 StGB,X
724,07.03.2016,Trier,RP,Sachbeschädigung § 303 StGB,X
725,08.03.2016,Bitterfeld,ST,"Gefährliche Körperverletzung§ 224 StGB",X
726,08.03.2016,Berlin,BR,Beleidigung § 185 StGB,X
727,08.03.2016,Tübingen,BW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
728,08.03.2016,Neustadt bei Coburg,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
729,08.03.2016,Rottach­Egern,BY,Beleidigung § 185 StGB,X
730,08.03.2016,Bad Reichenhall,BY,Sachbeschädigung § 303 StGB,X
731,08.03.2016,Neu­Isenburg,HE,Volksverhetzung § 130 StGB,X
732,08.03.2016,Fronhausen,HE,Volksverhetzung § 130 StGB,X
733,08.03.2016,Darmstadt,HE,Volksverhetzung § 130 StGB,X
734,08.03.2016,Flieden,HE,Volksverhetzung § 130 StGB,X
735,08.03.2016,Alsbach­Hähnlein,HE,Volksverhetzung § 130 StGB,X
736,08.03.2016,Cuxhaven,NI,Volksverhetzung § 130 StGB,X
737,08.03.2016,Artlenburg,NI,Volksverhetzung § 130 StGB,X
738,08.03.2016,Meppen,NI,Volksverhetzung § 130 StGB,X
739,08.03.2016,Artlenburg,NI,Volksverhetzung § 130 StGB,X
740,08.03.2016,Burbach,NW,"Gemeinschädliche Sachbeschä­digung § 304 StGB",X
741,08.03.2016,Sprendlingen,RP,Volksverhetzung § 130 StGB,X
742,08.03.2016,Todendorf,SH,Volksverhetzung § 130 StGB,X
743,09.03.2016,Wittstock,BB,Sachbeschädigung § 303 StGB,X
744,09.03.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",
745,09.03.2016,Berlin,BR,Nötigung § 240 StGB,X
746,09.03.2016,Weilheim in Oberbayern,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
747,09.03.2016,Rabenau,HE,Volksverhetzung § 130 StGB,X
748,09.03.2016,Taunusstein,HE,Volksverhetzung § 130 StGB,X
749,09.03.2016,Salzgitter,NI,Sachbeschädigung § 303 StGB,X
750,09.03.2016,Paderborn,NW,Volksverhetzung § 130 StGB,X
751,09.03.2016,"Obernheim­Kirchenarn­bach",RP,Beleidigung § 185 StGB,X
752,09.03.2016,Vinningen,RP,Volksverhetzung § 130 StGB,X
753,09.03.2016,Wilster,SH,Volksverhetzung § 130 StGB,X
754,09.03.2016,Delingsdorf,SH,Volksverhetzung § 130 StGB,X
755,09.03.2016,Leipzig,SN,Volksverhetzung § 130 StGB,X
756,09.03.2016,Bad Salzungen,TH,"Üble Nachrede und Verleum­dung gegen Personen des politi­schen Lebens § 188 StGB",X
757,09.03.2016,Apolda,TH,Volksverhetzung § 130 StGB,X
758,10.03.2016,Steißlingen,BW,Beleidigung § 185 StGB,X
759,10.03.2016,Bad Buchau,BW,Volksverhetzung § 130 StGB,X
760,10.03.2016,Landshut,BY,Volksverhetzung § 130 StGB,X
761,10.03.2016,Würzburg,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
762,10.03.2016,München,BY,Volksverhetzung § 130 StGB,X
763,10.03.2016,Hildesheim,NI,Beleidigung § 185 StGB,X
764,10.03.2016,Köln,NW,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
765,10.03.2016,Oelsnitz,SN,Sachbeschädigung § 303 StGB,X
766,11.03.2016,Heidelberg,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
767,11.03.2016,Hersbruck,BY,Volksverhetzung § 130 StGB,X
768,11.03.2016,Gladenbach,HE,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
769,11.03.2016,Witten,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
770,11.03.2016,Wermelskirchen,NW,Beleidigung § 185 StGB,X
771,11.03.2016,Ahrensburg,SH,Volksverhetzung § 130 StGB,X
772,11.03.2016,Flensburg,SH,"Gefährliche Körperverletzung§ 224 StGB",X
773,11.03.2016,Heide,SH,Körperverletzung § 223 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
774,11.03.2016,Kiel,SH,Volksverhetzung § 130 StGB,X
775,11.03.2016,Weimar,TH,Volksverhetzung § 130 StGB,X
776,12.03.2016,Pfullingen,BW,Beleidigung § 185 StGB,X
777,12.03.2016,Augsburg,BY,Volksverhetzung § 130 StGB,X
778,12.03.2016,Düsseldorf,NW,Volksverhetzung § 130 StGB,X
779,12.03.2016,Norderstedt,SH,Hausfriedensbruch § 123 StGB,X
780,12.03.2016,Kiel,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
781,12.03.2016,Trebsen/Mulde,SN,Volksverhetzung § 130 StGB,X
782,13.03.2016,Bodenmais,BY,Sachbeschädigung § 303 StGB,X
783,13.03.2016,Altötting,BY,Volksverhetzung § 130 StGB,X
784,13.03.2016,Staufenberg,HE,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
785,13.03.2016,Hannover,NI,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
786,13.03.2016,Bielefeld,NW,Volksverhetzung § 130 StGB,X
787,13.03.2016,Bleicherode,TH,Volksverhetzung § 130 StGB,X
788,14.03.2016,Berlin,BR,"Widerstand gegen Vollstre­ckungsbeamte § 113 StGB",X
789,14.03.2016,Berlin,BR,Versammlungsgesetz (VersG),X
790,14.03.2016,Burgthann,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
791,14.03.2016,Amberg,BY,Volksverhetzung § 130 StGB,X
792,14.03.2016,Garbsen,NI,Volksverhetzung § 130 StGB,X
793,14.03.2016,Timmendorfer Strand,SH,"Gefährliche Körperverletzung§ 224 StGB",X
794,14.03.2016,Ostrau,SN,Volksverhetzung § 130 StGB,X
795,15.03.2016,Schwäbisch Hall,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
796,15.03.2016,Würzburg,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
797,15.03.2016,Kaufbeuren,BY,Volksverhetzung § 130 StGB,X
798,15.03.2016,Rostock,MV,"Gefährliche Körperverletzung§ 224 StGB",X
799,15.03.2016,Oldenburg in Holstein,SH,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
800,15.03.2016,Chemnitz,SN,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
801,16.03.2016,Guben,BB,"Gefährliche Körperverletzung§ 224 StGB",X
802,16.03.2016,Landsberg am Lech,BY,Volksverhetzung § 130 StGB,X
803,16.03.2016,Herne,NW,Volksverhetzung § 130 StGB,X
804,17.03.2016,Weil am Rhein,BW,Volksverhetzung § 130 StGB,X
805,17.03.2016,Markt Schwaben,BY,Volksverhetzung § 130 StGB,X
806,17.03.2016,Waging am See,BY,Volksverhetzung § 130 StGB,X
807,17.03.2016,Baunatal,HE,Volksverhetzung § 130 StGB,X
808,17.03.2016,Köln,NW,Volksverhetzung § 130 StGB,X
809,17.03.2016,Köln,NW,Nötigung § 240 StGB,X
810,18.03.2016,Bodenkirchen,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
811,18.03.2016,Berglern,BY,Volksverhetzung § 130 StGB,X
812,18.03.2016,Baddeckenstedt,NI,Volksverhetzung § 130 StGB,X
813,18.03.2016,Stadthagen,NI,Volksverhetzung § 130 StGB,X
814,18.03.2016,Duisburg,NW,"Beschimpfung von Bekenntnis­sen, Religionsgesellschaften undWeltanschauungsvereinigungen§ 166 StGB",X
815,18.03.2016,Brühl,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
816,18.03.2016,Reinsdorf,SN,Volksverhetzung § 130 StGB,X
817,19.03.2016,Havelberg,ST,Bedrohung § 241 StGB,X
818,19.03.2016,Havelberg,ST,"Gefährliche Körperverletzung§ 224 StGB",X
819,19.03.2016,Vetschau,BB,Volksverhetzung § 130 StGB,X
820,19.03.2016,Berlin,BR,Körperverletzung § 223 StGB,X
821,19.03.2016,Berlin,BR,Beleidigung § 185 StGB,
822,19.03.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
823,19.03.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
824,19.03.2016,Asperg,BW,Volksverhetzung § 130 StGB,X
825,19.03.2016,Regensburg,BY,"Gefährliche Körperverletzung§ 224 StGB",X
826,19.03.2016,München,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
827,19.03.2016,Gummersbach,NW,Bedrohung § 241 StGB,X
828,19.03.2016,Gescher,NW,Volksverhetzung § 130 StGB,X
829,20.03.2016,Guben,BB,Beleidigung § 185 StGB,X
830,20.03.2016,Spremberg,BB,Volksverhetzung § 130 StGB,X
831,20.03.2016,Konstanz,BW,Volksverhetzung § 130 StGB,X
832,20.03.2016,Landshut,BY,Sachbeschädigung § 303 StGB,X
833,20.03.2016,Recklinghausen,NW,Volksverhetzung § 130 StGB,X
834,20.03.2016,Dresden,SN,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
835,21.03.2016,Berlin,BR,Sachbeschädigung § 303 StGB,
836,21.03.2016,Bayreuth,BY,Volksverhetzung § 130 StGB,X
837,21.03.2016,Osterhofen,BY,Volksverhetzung § 130 StGB,X
838,21.03.2016,Untergriesbach,BY,Volksverhetzung § 130 StGB,X
839,21.03.2016,Wolgast,MV,Körperverletzung § 223 StGB,X
840,21.03.2016,Hannover,NI,Versammlungsgesetz (VersG),X
841,21.03.2016,Herne,NW,Volksverhetzung § 130 StGB,X
842,21.03.2016,Telgte,NW,Volksverhetzung § 130 StGB,X
843,21.03.2016,Limbach­Oberfrohna,SN,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
844,21.03.2016,Radebeul,SN,Volksverhetzung § 130 StGB,X
845,22.03.2016,Fürstenwalde/Spree,BB,Beleidigung § 185 StGB,X
846,22.03.2016,"Gutach (Schwarzwald­bahn)",BW,Volksverhetzung § 130 StGB,X
847,22.03.2016,Pforzheim,BW,Volksverhetzung § 130 StGB,X
848,22.03.2016,Pforzheim,BW,Volksverhetzung § 130 StGB,X
849,22.03.2016,Landsberg am Lech,BY,Volksverhetzung § 130 StGB,X
850,22.03.2016,Bad Windsheim,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
851,22.03.2016,Zachenberg,BY,Volksverhetzung § 130 StGB,X
852,22.03.2016,Tirschenreuth,BY,Volksverhetzung § 130 StGB,X
853,22.03.2016,Schlüchtern,HE,Volksverhetzung § 130 StGB,X
854,22.03.2016,Aurich,NI,Brandstiftung § 306 StGB,X
855,22.03.2016,Mainz,RP,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
856,22.03.2016,Mainz,RP,Volksverhetzung § 130 StGB,X
857,22.03.2016,Malente,SH,Volksverhetzung § 130 StGB,X
858,22.03.2016,Spiesen­Elversberg,SL,Volksverhetzung § 130 StGB,X
859,22.03.2016,Wilkau­Haßlau,SN,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
860,23.03.2016,Berlin,BR,Körperverletzung § 223 StGB,X
861,23.03.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
862,23.03.2016,Berlin,BR,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
863,23.03.2016,Gerlingen,BW,Volksverhetzung § 130 StGB,X
864,23.03.2016,Röttenbach,BY,Volksverhetzung § 130 StGB,X
865,23.03.2016,Eichenzell,HE,Volksverhetzung § 130 StGB,X
866,23.03.2016,Schwerin,MV,Beleidigung § 185 StGB,X
867,23.03.2016,Essen,NW,Sachbeschädigung § 303 StGB,X
868,23.03.2016,Nettetal,NW,Volksverhetzung § 130 StGB,X
869,23.03.2016,Kempen,NW,Volksverhetzung § 130 StGB,X
870,23.03.2016,Neuwied,RP,"Gefährliche Körperverletzung§ 224 StGB",X
871,23.03.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
872,23.03.2016,Markkleeberg,SN,Volksverhetzung § 130 StGB,X
873,23.03.2016,Saalfeld/Saale,TH,Körperverletzung § 223 StGB,X
874,24.03.2016,Bitterfeld,ST,"Gefährliche Körperverletzung§ 224 StGB",X
875,24.03.2016,Großräschen,BB,Volksverhetzung § 130 StGB,X
876,24.03.2016,Berlin,BR,"Verfassungsfeindliche Verun­glimpfung von Verfassungsorga­nen § 90b StGB",X
877,24.03.2016,Gundelfingen,BW,Bedrohung § 241 StGB,X
878,24.03.2016,Ingolstadt,BY,Volksverhetzung § 130 StGB,X
879,24.03.2016,Regensburg,BY,Volksverhetzung § 130 StGB,X
880,24.03.2016,Rostock,MV,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
881,24.03.2016,Bielefeld,NW,Volksverhetzung § 130 StGB,X
882,24.03.2016,Saarlouis,SL,Volksverhetzung § 130 StGB,X
883,24.03.2016,Rabenau,SN,Sachbeschädigung § 303 StGB,X
884,25.03.2016,Hamburg,HH,"Gefährliche Körperverletzung§ 224 StGB",X
885,25.03.2016,Hamburg,HH,Volksverhetzung § 130 StGB,X
886,25.03.2016,Braunschweig,NI,Volksverhetzung § 130 StGB,X
887,25.03.2016,Köln,NW,"Gefährliche Körperverletzung§ 224 StGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
888,25.03.2016,Mönchengladbach,NW,Volksverhetzung § 130 StGB,X
889,25.03.2016,Bischofswerda,SN,Volksverhetzung § 130 StGB,X
890,26.03.2016,Göttingen,NI,Volksverhetzung § 130 StGB,X
891,26.03.2016,Düsseldorf,NW,Volksverhetzung § 130 StGB,X
892,26.03.2016,Gummersbach,NW,Bedrohung § 241 StGB,X
893,26.03.2016,Ahlen,NW,Volksverhetzung § 130 StGB,X
894,26.03.2016,Annaberg­Buchholz,SN,Körperverletzung § 223 StGB,X
895,26.03.2016,Zwickau,SN,"Beschimpfung von Bekenntnis­sen, Religionsgesellschaften undWeltanschauungsvereinigungen§ 166 StGB",X
896,26.03.2016,Jena,TH,Volksverhetzung § 130 StGB,X
897,27.03.2016,Herrenberg,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
898,27.03.2016,Stralsund,MV,Beleidigung § 185 StGB,X
899,27.03.2016,Warburg,NW,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
900,27.03.2016,Flensburg,SH,Volksverhetzung § 130 StGB,X
901,27.03.2016,Dresden,SN,Körperverletzung § 223 StGB,X
902,28.03.2016,Haldensleben,ST,Beleidigung § 185 StGB,X
903,28.03.2016,Zeitz,ST,Körperverletzung § 223 StGB,X
904,28.03.2016,Regensburg,BY,Beleidigung § 185 StGB,X
905,28.03.2016,München,BY,Volksverhetzung § 130 StGB,X
906,28.03.2016,Schieder­Schwalenberg,NW,"Gefährliche Körperverletzung§ 224 StGB",X
907,28.03.2016,Neukirchen­Vluyn,NW,Volksverhetzung § 130 StGB,X
908,28.03.2016,Leipzig,SN,Volksverhetzung § 130 StGB,X
909,29.03.2016,Spremberg,BB,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
910,29.03.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
911,29.03.2016,Reutlingen,BW,Beleidigung § 185 StGB,X
912,29.03.2016,Plattling,BY,Volksverhetzung § 130 StGB,X
913,29.03.2016,Ruhpolding,BY,"Gemeinschädliche Sachbeschä­digung § 304 StGB",X
914,29.03.2016,Harsum,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
915,29.03.2016,Betzdorf,RP,Volksverhetzung § 130 StGB,X
916,29.03.2016,Kasseedorf,SH,Volksverhetzung § 130 StGB,X
917,29.03.2016,Adorf,SN,Volksverhetzung § 130 StGB,X
918,30.03.2016,Bad Friedrichshall,BW,Volksverhetzung § 130 StGB,X
919,30.03.2016,Kempten (Allgäu),BY,Beleidigung § 185 StGB,X
920,30.03.2016,Bochum,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
921,30.03.2016,Datteln,NW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
922,30.03.2016,Eutin,SH,Volksverhetzung § 130 StGB,X
923,30.03.2016,Freital,SN,"Gefährliche Körperverletzung§ 224 StGB",
924,30.03.2016,Bad Köstritz,TH,Bedrohung § 241 StGB,X
925,31.03.2016,Köthen/Anhalt,ST,Körperverletzung § 223 StGB,X
926,31.03.2016,Berlin,BR,Beleidigung § 185 StGB,
927,31.03.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
928,31.03.2016,Coppenbrügge,NI,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
929,31.03.2016,Lohne (Oldenburg),NI,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
930,31.03.2016,Hameln,NI,Bedrohung § 241 StGB,X
931,31.03.2016,Varel,NI,Volksverhetzung § 130 StGB,X
932,31.03.2016,Annweiler am Trifels,RP,Volksverhetzung § 130 StGB,X
933,31.03.2016,Rammelsbach,RP,Volksverhetzung § 130 StGB,X
934,31.03.2016,Bad Segeberg,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
935,31.03.2016,Kaltenkirchen,SH,Volksverhetzung § 130 StGB,X
936,31.03.2016,Freital,SN,Sachbeschädigung § 303 StGB,X
937,31.03.2016,Markkleeberg,SN,Volksverhetzung § 130 StGB,X
938,31.03.2016,Erfurt,TH,Bedrohung § 241 StGB,X
939,01.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
940,01.04.2016,Rottenburg am Neckar,BW,Sachbeschädigung § 303 StGB,X
941,01.04.2016,München,BY,Volksverhetzung § 130 StGB,X
942,01.04.2016,Dachau,BY,Volksverhetzung § 130 StGB,X
943,01.04.2016,"Kirchheim im Schwarz­wald",BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
944,02.04.2016,Potsdam,BB,Körperverletzung § 223 StGB,X
945,02.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
946,02.04.2016,Syrgenstein,BY,Volksverhetzung § 130 StGB,X
947,02.04.2016,Bremen,HB,"Gefährliche Körperverletzung§ 224 StGB",X
948,02.04.2016,Stralsund,MV,"Gefährliche Körperverletzung§ 224 StGB",X
949,02.04.2016,Dorf Mecklenburg,MV,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
950,02.04.2016,Wolfsburg,NI,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
951,02.04.2016,Bielefeld,NW,Beleidigung § 185 StGB,X
952,02.04.2016,Markkleeberg,SN,Volksverhetzung § 130 StGB,X
953,02.04.2016,Chemnitz,SN,Volksverhetzung § 130 StGB,X
954,03.04.2016,Fürstenwalde/Spree,BB,"Gefährliche Körperverletzung§ 224 StGB",X
955,03.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
956,03.04.2016,Waiblingen,BW,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
957,03.04.2016,Obing,BY,Volksverhetzung § 130 StGB,X
958,03.04.2016,Neubrandenburg,MV,"Gefährliche Körperverletzung§ 224 StGB",X
959,03.04.2016,Klütz,MV,Bedrohung § 241 StGB,X
960,03.04.2016,Klütz,MV,Beleidigung § 185 StGB,X
961,03.04.2016,Emden,NI,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
962,03.04.2016,Bad Schwartau,SH,Sachbeschädigung § 303 StGB,X
963,03.04.2016,Kellinghusen,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
964,03.04.2016,Torgau,SN,Beleidigung § 185 StGB,X
965,03.04.2016,Zwickau,SN,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
966,04.04.2016,Quedlinburg,ST,Körperverletzung § 223 StGB,X
967,04.04.2016,Forst/Lausitz,BB,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
968,04.04.2016,Eibenstock,SN,Waffengesetz (WaffG),X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
969,04.04.2016,Eibenstock,SN,"Gefährliche Körperverletzung§ 224 StGB",X
970,04.04.2016,Erfurt,TH,"Verunglimpfung des AndenkensVerstorbener § 189 StGB",X
971,05.04.2016,Pfeffenhausen,BY,Volksverhetzung § 130 StGB,X
972,05.04.2016,Klütz,MV,"Gefährliche Eingriffe in denStraßenverkehr § 315b StGB",X
973,05.04.2016,Waren/Müritz,MV,Bedrohung § 241 StGB,X
974,06.04.2016,Pastetten,BY,Sachbeschädigung § 303 StGB,X
975,06.04.2016,Stallwang,BY,Volksverhetzung § 130 StGB,X
976,06.04.2016,Schwerin,MV,Volksverhetzung § 130 StGB,X
977,06.04.2016,Wünnenberg,NW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
978,06.04.2016,Neuss,NW,Bedrohung § 241 StGB,
979,06.04.2016,Albig,RP,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
980,07.04.2016,Beelitz,BB,Körperverletzung § 223 StGB,X
981,07.04.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
982,07.04.2016,Berlin,BR,Volksverhetzung § 130 StGB,X
983,07.04.2016,Hemhofen,BY,Volksverhetzung § 130 StGB,X
984,07.04.2016,Künzing,BY,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
985,07.04.2016,Stavenhagen,MV,"Gefährliche Körperverletzung§ 224 StGB",X
986,07.04.2016,,SN,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
987,07.04.2016,Radebeul,SN,Volksverhetzung § 130 StGB,X
988,07.04.2016,Friedrichroda,TH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
989,07.04.2016,Bad Köstritz,TH,Bedrohung § 241 StGB,X
990,08.04.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",X
991,08.04.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",
992,08.04.2016,Sigmaringen,BW,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
993,08.04.2016,Neuching,BY,Nötigung § 240 StGB,X
994,08.04.2016,Nürnberg,BY,Volksverhetzung § 130 StGB,X
995,08.04.2016,Fulda,HE,Volksverhetzung § 130 StGB,X
996,08.04.2016,Stollberg/Erzgebirge,SN,Volksverhetzung § 130 StGB,X
997,08.04.2016,Gera,TH,Volksverhetzung § 130 StGB,X
998,09.04.2016,Bitterfeld,ST,"Gefährliche Körperverletzung§ 224 StGB",X
999,09.04.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",
1000,09.04.2016,Berlin,BR,"Öffentliche Aufforderung zuStraftaten § 111 StGB",
