key;name;kreis_type;year;crime;crime_noasyl;total_solved;noasyl_solved;hom;arson
06440;Wetteraukreis;LK;2016;12850;12765;57,3;57;3;61
06531;Gießen;LK;2016;39957;15003;85,2;60,7;11;72
06532;Lahn-Dill-Kreis;LK;2016;9789;9727;62,8;62,6;22;76
06533;Limburg-Weilburg;LK;2016;8167;8017;63,4;62,7;10;29
06534;Marburg-Biedenkopf;LK;2016;10699;10625;62,4;62,1;16;77
06535;Vogelsbergkreis;LK;2016;4003;3859;68,2;67,1;2;29
06611;Kassel;KfS;2016;19431;18757;60,3;58,9;10;48
06631;Fulda;LK;2016;9672;9339;65,4;64,2;18;41
06632;Hersfeld-Rotenburg;LK;2016;5862;5724;65,6;64,9;5;34
06633;Kassel;LK;2016;7445;7411;57,8;57,6;8;26
06634;Schwalm-Eder-Kreis;LK;2016;6971;6876;60,9;60,4;6;61
06635;Waldeck-Frankenberg;LK;2016;5706;5680;63,2;63;6;52
06636;Werra-Meißner-Kreis;LK;2016;4568;4438;63,1;62,1;2;36
07111;Koblenz;KfS;2016;12989;12839;51,8;51,2;3;24
07131;Ahrweiler;LK;2016;8292;8267;59,8;59,7;0;54
07132;Altenkirchen (Westerwald);LK;2016;7275;7261;67;66,9;7;31
07133;Bad Kreuznach;LK;2016;10001;9964;66,4;66,3;5;43
07134;Birkenfeld;LK;2016;4556;4549;66,3;66,3;1;12
07135;Cochem-Zell;LK;2016;2818;2808;63,7;63,6;0;20
07137;Mayen-Koblenz;LK;2016;10859;10825;60,8;60,7;3;71
07138;Neuwied;LK;2016;10866;10816;60,9;60,7;4;66
07140;Rhein-Hunsrück-Kreis;LK;2016;5054;4731;63,1;60,5;1;22
07141;Rhein-Lahn-Kreis;LK;2016;7426;6016;72,4;65,9;3;22
07143;Westerwaldkreis;LK;2016;9443;9413;62,8;62,7;3;56
07211;Trier;KfS;2016;18653;9563;80,8;62,6;4;27
07231;Bernkastel-Wittlich;LK;2016;5449;5438;71,8;71,7;6;30
07232;Eifelkreis Bitburg-Prüm;LK;2016;4579;4446;69,1;68,2;1;35
07233;Vulkaneifel;LK;2016;3059;3045;67,9;67,7;2;30
07235;Trier-Saarburg;LK;2016;9671;4800;82,3;64,4;2;10
07311;Frankenthal (Pfalz);KfS;2016;4314;4304;61,5;61,4;1;15
07312;Kaiserslautern;KfS;2016;12041;11943;65,4;65,1;4;21
07313;Landau in der Pfalz;KfS;2016;4348;4330;59,9;59,7;4;7
07314;Ludwigshafen am Rhein;KfS;2016;16487;16406;61,3;61,1;5;33
07315;Mainz;KfS;2016;20684;20487;61,8;61,4;3;16
07316;Neustadt an der Weinstraße;KfS;2016;3847;3792;62,9;62,4;1;7
07317;Pirmasens;KfS;2016;3410;3403;67,7;67,6;0;10
07318;Speyer;KfS;2016;4679;4666;54,3;54,2;1;10
07319;Worms;KfS;2016;7054;7040;59,6;59,5;3;13
07320;Zweibrücken;KfS;2016;2776;2770;62,8;62,7;2;6
07331;Alzey-Worms;LK;2016;5350;5337;63,3;63,2;3;17
07332;Bad Dürkheim;LK;2016;7126;7099;59,8;59,7;0;23
07333;Donnersbergkreis;LK;2016;3628;3624;66,3;66,2;2;13
07334;Germersheim;LK;2016;7406;7362;63,5;63,3;3;27
07335;Kaiserslautern;LK;2016;4695;4672;60,1;60;1;26
07336;Kusel;LK;2016;4265;3294;70,9;62,4;3;11
07337;Südliche Weinstraße;LK;2016;4884;4879;61,7;61,7;6;25
07338;Rhein-Pfalz-Kreis;LK;2016;7005;6996;56,2;56,1;5;17
07339;Mainz-Bingen;LK;2016;15692;11071;74,3;63,6;4;48
07340;Südwestpfalz;LK;2016;2951;2949;61,7;61,6;1;35
08111;Stuttgart;SK;2016;58868;57055;63,1;62;32;109
08115;Böblingen;LK;2016;17623;17478;63,3;63;7;41
08116;Esslingen;LK;2016;25936;23141;62;57,4;12;73
08117;Göppingen;LK;2016;9641;9605;58;57,8;9;31
08118;Ludwigsburg;LK;2016;22990;22903;60;59,8;10;63
08119;Rems-Murr-Kreis;LK;2016;19705;19619;58,4;58,2;9;81
08121;Heilbronn;SK;2016;9258;9163;61,9;61,5;9;30
08125;Heilbronn;LK;2016;11374;11323;54,5;54,3;9;51
08126;Hohenlohekreis;LK;2016;4462;4446;58,1;58;3;24
08127;Schwäbisch Hall;LK;2016;7211;7195;60,9;60,8;9;36
08128;Main-Tauber-Kreis;LK;2016;5184;5167;60,4;60,3;2;21
08135;Heidenheim;LK;2016;5181;5167;61,4;61,3;5;26
08136;Ostalbkreis;LK;2016;12640;12317;59,2;58,1;5;69
08211;Baden-Baden;SK;2016;4315;4253;60,1;59,5;0;9
08212;Karlsruhe;SK;2016;31821;30213;60,2;58,1;9;36
08215;Karlsruhe;LK;2016;17962;17913;51,8;51,7;10;67
08216;Rastatt;LK;2016;11217;11086;58,5;58,1;7;53
08221;Heidelberg;SK;2016;16128;15022;57,7;54,5;5;11
08222;Mannheim;SK;2016;35421;34690;55,1;54,2;15;44
08225;Neckar-Odenwald-Kreis;LK;2016;5021;5003;62,9;62,7;8;23
08226;Rhein-Neckar-Kreis;LK;2016;25200;24974;53,8;53,4;14;81
08231;Pforzheim;SK;2016;9281;9256;62,9;62,8;4;22
08235;Calw;LK;2016;5023;4991;63,6;63,4;4;35
