key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
03358;Heidekreis  ;2013;7260;2360;3385;1790;3875;185;75;85;1135;570;120;55;55;755;445;105;25;40;200;90;5;10;10;180;75;5;10;10
03359;Stade  ;2013;10570;3450;5305;3300;5265;80;65;55;1175;410;60;55;45;525;235;45;30;25;315;105;0;15;15;270;90;0;10;10
03360;Uelzen  ;2013;3030;845;1345;860;1685;75;75;25;485;165;40;65;10;270;100;30;20;10;70;25;0;5;5;55;20;0;5;5
03361;Verden  ;2013;7060;3340;2510;1355;4550;205;65;135;1115;600;165;50;100;815;430;145;30;75;215;150;0;5;25;205;140;0;5;20
034;Statistische Region Weser-Ems ;2013;161730;47245;90570;47330;71160;2580;770;3260;17295;6040;1690;620;2365;11970;4225;1430;265;1870;2825;1310;50;100;305;2515;1130;35;95;290
03401;Delmenhorst, Stadt  ;2013;7165;3415;2455;1665;4705;115;35;165;745;310;65;25;100;580;225;55;15;90;65;40;0;5;5;60;40;0;5;0
03402;Emden, Stadt  ;2013;3220;1085;1645;965;1575;45;20;35;365;165;25;15;20;190;85;15;5;15;80;40;0;0;5;75;40;0;0;5
03403;Oldenburg (Oldenburg), Stadt   ;2013;10780;3225;3695;1980;7080;260;85;980;1875;320;170;75;755;1515;300;130;20;640;145;15;0;5;75;140;15;0;5;75
03404;Osnabrück, Stadt  ;2013;16600;7590;6945;3240;9655;225;70;100;1475;370;125;45;60;1145;310;105;20;35;120;35;0;5;15;105;30;0;5;15
03405;Wilhelmshaven, Stadt  ;2013;4440;1705;1855;1155;2585;60;20;100;660;255;45;10;80;400;160;35;10;55;150;45;5;0;20;135;40;0;0;20
03451;Ammerland  ;2013;4465;1110;2200;1405;2265;150;65;100;755;215;115;55;80;500;175;95;25;55;115;40;5;0;10;110;40;0;0;10
03452;Aurich  ;2013;6590;1940;3340;1635;3245;145;60;70;1400;570;100;55;55;930;405;75;15;30;230;140;0;10;10;210;120;0;5;10
