key;wahlberechtigte;wähler_14;ungültige_14;gültige_14;cdu_14;spd_14;grüne_14;fdp_14;die linke_14;csu_14;freie wähler_14;rep_14;tierschutzpartei_14;familie_14;piraten_14;ödp_14;pbc_14;volksabstimmung_14;bp_14;cm_14;auf_14;dkp_14;büso_14;psg_14;afd_14;pro nrw_14;mlpd_14;npd_14;die partei_14
9272;63709;16875;58;16817;0;2504;983;289;380;8815;896;75;158;38;101;438;18;37;566;27;40;7;1;3;1235;7;4;157;38
9273;87352;32825;108;32717;0;5161;2388;591;647;17119;1398;118;304;89;273;1332;27;55;746;29;62;16;5;6;2022;3;3;246;77
9274;116297;46391;127;46264;0;5951;4330;1017;888;22077;4593;189;486;128;431;1577;24;78;1030;51;134;13;6;11;2885;7;5;223;130
9275;149285;45962;162;45800;0;7160;3254;988;1256;23258;1797;201;534;106;327;1571;46;133;887;70;116;13;9;9;3625;14;9;313;104
9276;62610;16498;69;16429;0;2437;929;314;386;8436;867;92;161;42;119;538;19;33;301;24;38;6;2;6;1501;5;2;136;35
9277;91946;30433;141;30292;0;3589;2119;631;615;16488;1178;110;377;73;226;1424;10;53;723;47;66;9;11;4;2231;20;6;198;84
9278;76667;30366;90;30276;0;3467;1337;559;417;17174;1836;165;249;72;156;1820;18;64;630;26;46;11;4;9;1796;5;8;337;70
9279;71650;25503;92;25411;0;3452;1438;458;473;13893;1089;181;246;88;164;1126;17;61;604;36;67;8;7;1;1648;9;2;256;87
9361;33217;11512;38;11474;0;2821;892;291;417;4652;259;40;115;15;127;419;22;28;124;15;28;2;3;1;1096;4;5;63;35
9362;103432;41675;94;41581;0;9570;7249;1331;1859;13228;1239;75;431;76;804;1528;36;55;286;33;80;41;6;12;3162;16;12;138;314
9363;33246;11551;46;11505;0;2888;967;256;366;4700;285;33;94;26;93;227;20;45;109;9;11;3;3;6;1216;5;5;94;44
9371;82522;33538;153;33385;0;7452;2260;547;760;15416;1663;136;268;103;272;1101;50;64;420;29;61;9;2;5;2365;10;13;258;121
9372;102140;31749;137;31612;0;4112;1863;500;511;16985;2705;123;291;79;249;775;46;57;699;49;60;19;5;12;2192;5;6;200;69
9373;99620;42576;139;42437;0;5783;3477;694;936;22669;2496;138;370;132;350;1109;45;92;543;57;96;8;7;3;2874;5;6;388;159
9374;76683;31408;145;31263;0;6554;1771;433;516;15391;1663;106;293;91;218;764;25;74;436;37;59;6;8;6;2408;7;9;306;82
9375;146252;61865;256;61609;0;11049;5357;1279;1299;27280;5705;292;644;167;505;1687;68;117;844;65;125;32;17;11;4449;18;18;358;223
9376;114360;41070;163;40907;0;8588;2172;479;813;20184;1741;218;426;135;309;1302;38;94;713;48;124;14;9;13;3001;7;11;341;127
9377;60297;24073;96;23977;0;4131;1203;322;391;13390;1520;52;218;87;158;367;29;69;211;42;67;2;4;5;1416;13;8;216;56
9461;55010;22127;81;22046;0;4381;4631;785;989;7235;429;74;204;62;419;527;24;42;204;24;50;23;6;5;1550;4;28;182;168
9462;57280;21750;83;21667;0;5277;3133;1177;767;7220;530;93;233;62;428;334;127;35;122;29;54;8;8;2;1757;8;13;89;161
